states,x,y
Andhra Pradesh,-48.0,-122.0
Arunachal Pradesh,188.0,86.0
Assam,163.0,57.0
Bihar,56.0,44.0
Chhattisgarh,-4.0,-27.0
Goa,-128.0,-130.0
Gujarat,-167.0,-5.0
Haryana,-88.0,106.0
Himachal Pradesh,-76.0,155.0
Jharkhand,47.0,6.0
Karnataka,-102.0,-145.0
Kerala,-91.0,-205.0
Madhya Pradesh,-62.0,3.0
Maharashtra,-107.0,-62.0
Manipur,183.0,32.0
Meghalaya,159.0,40.0
Mizoram,156.0,-9.0
Nagaland,193.0,54.0
Odisha,44.0,-43.0
Punjab,-109.0,137.0
Rajasthan,-134.0,66.0
Sikkim,95.0,73.0
Tamil Nadu,-62.0,-196.0
Telangana,-55.0,-87.0
Tripura,121.0,23.0
Uttar Pradesh,-23.0,72.0
Uttarakhand,-46.0,125.0
West Bengal,94.0,1.0
